Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,65 to 74 years,2018,gs1datot,1390.0714930919096,18.127856534088778,896.1798432952639,1883.9631428885552,139,Total amount of donations,Average total amount of donations,AB,*
Age group,75 years and over,2018,gs1datot,690.2141059324824,17.178941914947774,457.81827485892586,922.609937006039,92,Total amount of donations,Average total amount of donations,AB,*
Age group,15 to 24 years,2018,gs1datot,94.46532261464162,18.663861002898273,59.909439641645506,129.02120558763772,107,Total amount of donations,Average total amount of donations,AT,*
Age group,25 to 34 years,2018,gs1datot,301.0236154484019,17.274939784636047,199.1022576314419,402.94497326536197,261,Total amount of donations,Average total amount of donations,AT,*
Age group,35 to 44 years,2018,gs1datot,388.0629815678919,13.08456758647329,288.54313862334834,487.5828245124354,461,Total amount of donations,Average total amount of donations,AT,NA
Age group,45 to 54 years,2018,gs1datot,429.9058888924561,11.068569824610911,336.64211302305023,523.169664761862,548,Total amount of donations,Average total amount of donations,AT,NA
Age group,55 to 64 years,2018,gs1datot,612.5718712367152,12.906926623830053,457.60888297037206,767.5348595030583,755,Total amount of donations,Average total amount of donations,AT,NA
Age group,65 to 74 years,2018,gs1datot,646.2801770541241,8.153382541162506,543.0024324008571,749.5579217073912,700,Total amount of donations,Average total amount of donations,AT,NA
Age group,75 years and over,2018,gs1datot,783.2033031014073,10.872361734366748,616.3070853066878,950.0995208961268,380,Total amount of donations,Average total amount of donations,AT,NA
Age group,15 to 24 years,2018,gs1datot,131.27087016075816,25.12454067883413,66.62889977488156,195.91284054663475,49,Total amount of donations,Average total amount of donations,BC,*
Age group,25 to 34 years,2018,gs1datot,382.73803164056886,19.035204197228456,239.94492245373294,525.5311408274048,162,Total amount of donations,Average total amount of donations,BC,*
Age group,35 to 44 years,2018,gs1datot,474.9887182431935,15.413580750300545,331.494326537951,618.483109948436,228,Total amount of donations,Average total amount of donations,BC,NA
Age group,45 to 54 years,2018,gs1datot,647.1380848808747,22.99835284388009,355.4344888112585,938.8416809504909,247,Total amount of donations,Average total amount of donations,BC,*
Age group,55 to 64 years,2018,gs1datot,1093.4691339176657,13.323474305509588,807.9257459122941,1379.0125219230372,314,Total amount of donations,Average total amount of donations,BC,NA
Age group,65 to 74 years,2018,gs1datot,734.3209413740645,11.180644263387247,573.40434638367606,895.237536364453,333,Total amount of donations,Average total amount of donations,BC,NA
Age group,75 years and over,2018,gs1datot,855.8884644996754,13.60363336089513,627.6860776192269,1084.0908513801237,199,Total amount of donations,Average total amount of donations,BC,NA
Age group,15 to 24 years,2018,gs1datot,184.09126852751302,23.25453036976517,100.18607283578437,267.99646421924166,99,Total amount of donations,Average total amount of donations,ON,*
Age group,25 to 34 years,2018,gs1datot,441.4463282557275,19.94950713191378,268.8394211980936,614.0532353133615,375,Total amount of donations,Average total amount of donations,ON,*
Age group,35 to 44 years,2018,gs1datot,690.7329840751759,11.73366425246548,531.8812561710531,849.5847119792986,510,Total amount of donations,Average total amount of donations,ON,NA
Age group,45 to 54 years,2018,gs1datot,660.6956730598952,10.301412572275739,527.2985895346662,794.0927565851241,552,Total amount of donations,Average total amount of donations,ON,NA
Age group,55 to 64 years,2018,gs1datot,705.7504989426376,8.652567982800875,586.0642364946717,825.4367613906035,687,Total amount of donations,Average total amount of donations,ON,NA
